dataset,image,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,n_query_on_band,S1,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_q2.0,S3_p90_q2.0,S3_p95_q2.0,S3_p99_q2.0,S2_q1.5,S3_p90_q1.5,S3_p95_q1.5,S3_p99_q1.5
nuclei,nuclei_figure_1,54,61,False,46,9.574759858442889,20,1.4981761312273478,5.043158425551094,1.4481670612963824,0.8353575348830912,1.6921171653514162,5e-06,0.0,0.0,1.7970907707704733,0.0008824999999999999,4.75e-05,0.0
nuclei,nuclei_figure_1,58,66,True,54,8.698860398860376,24,3.8688738696183207,6.657183206064592,3.981547765416965,0.8423299950538016,3.9576709211388255,0.28431875,0.14197916666666668,0.008749999999999999,4.007475852720597,0.28953333333333325,0.15085833333333334,0.014304166666666666
nuclei,nuclei_figure_1,62,64,False,24,14.369515334676521,24,2.819226743000008,5.558647595106364,3.111665843369977,0.8093943582361754,2.9388167953158444,0.08647916666666666,0.01979166666666667,2.4999999999999998e-05,3.0081435760256556,0.09734166666666666,0.02786875,0.00060625
nuclei,nuclei_figure_1,64,69,True,53,5.88700224212306,20,6.700352485677898,9.3312690738851,6.3294138571435745,0.8996067794933467,6.730801343765475,0.68448,0.59358,0.27451250000000005,6.749962314838501,0.6912775000000001,0.5908375,0.28226499999999993
nuclei,nuclei_figure_1,74,80,True,54,8.283862867788514,24,1.7654139598735157,5.8720051493823915,1.8172278833381712,0.8902405018737993,1.9345722907497318,1.6666666666666667e-05,0.0,0.0,2.02797836608041,0.00185625,0.00015208333333333333,0.0
nuclei,nuclei_figure_1,82,86,False,34,11.938687193627459,32,3.7578851043552834,8.57401668930471,3.5640850705077414,0.8745901703472186,3.837375640867216,0.20071875,0.0548359375,7.34375e-05,3.884423016134793,0.21359218749999997,0.0685609375,0.0015656250000000002
nuclei,nuclei_figure_1,86,89,True,56,5.071144121365364,21,2.58751648648304,6.060718165747106,2.5465394146500535,0.8921636922495612,2.70292872579322,0.01703333333333333,0.0006952380952380953,0.0,2.771590111534934,0.03101666666666666,0.0048095238095238095,4.761904761904762e-05
nuclei,nuclei_figure_1,91,98,False,32,13.577328052550229,30,1.8635531647781283,5.2432311478001,1.852038192228897,0.5839715826693401,2.037831903910009,0.0012983333333333332,1.1666666666666666e-05,0.0,2.1314712820727353,0.006098333333333332,0.0007266666666666668,0.0
nuclei,nuclei_figure_1,92,101,False,33,10.988310929281113,20,2.332170034411667,4.6401496053354,2.227475550673717,0.8577273664747951,2.4695690244464332,0.0032,2.2499999999999998e-05,0.0,2.5435715887152357,0.012879999999999999,0.0017174999999999998,1.25e-05
nuclei,nuclei_figure_1,97,102,True,52,7.184615384615398,30,4.252327883620283,6.730662415886082,4.120382930887253,0.9578460272098065,4.304465530634322,0.21457833333333332,0.037169999999999995,1.5000000000000002e-05,4.338183448247603,0.23396333333333338,0.05888333333333336,0.0010483333333333332
nuclei,nuclei_figure_1,103,108,True,52,-2.300387382401766,32,2.0458587874234357,2.9504978001030713,2.2440739516987893,0.9352201701577123,2.281301962078392,0.0602359375,0.0219078125,0.00014687499999999998,2.379855781208846,0.0664671875,0.026753125,0.0011203125
nuclei,nuclei_figure_1,108,112,True,38,7.7334038614123415,19,3.992823343343409,7.314421394847218,3.69622859161492,0.9992695729456136,4.048639237182703,0.1543921052631579,0.03320263157894737,3.157894736842105e-05,4.086350844446653,0.17503684210526319,0.04772894736842106,0.001094736842105263
nuclei,nuclei_figure_1,110,115,True,66,2.922690317812254,18,1.6627070583974346,5.337830121428532,1.616100940363058,0.8891329534176885,1.8031820978887627,2.777777777777778e-06,0.0,0.0,1.8964683635559152,0.0007166666666666667,4.9999999999999996e-05,0.0
nuclei,nuclei_figure_1,115,123,False,39,14.674220963172814,18,1.5786743560641563,4.4536473018064004,1.5315988794362572,0.8866499299297594,1.832280219386515,2.5e-05,0.0,0.0,1.9357075067787999,0.002075,0.00018333333333333334,0.0
nuclei,nuclei_figure_1,125,126,False,35,5.020217917675552,25,4.297193389440614,7.507910240134473,4.040043781867331,0.9034669744506609,4.35464980510455,0.29289000000000004,0.146358,0.012458,4.391987159527057,0.30257,0.15718400000000002,0.018096
nuclei,nuclei_figure_1,133,137,True,92,-2.196376811594206,31,3.8869400998113406,6.523023425208826,3.7986452124919516,0.8794059592769031,3.9460857738462174,0.16420483870967736,0.06566774193548389,0.0019370967741935486,3.985831280990147,0.1807596774193548,0.07615,0.0046532258064516125
nuclei,nuclei_figure_1,135,139,True,64,13.58168118776672,31,2.453818454949944,6.5590347673667235,1.8016445785552033,0.7862426020496996,2.589720016507894,0.044024193548387096,0.010651612903225808,9.677419354838709e-06,2.665548772998838,0.054012903225806465,0.015061290322580644,0.00030161290322580647
nuclei,nuclei_figure_1,144,149,False,23,8.05241545893719,20,1.7694245305767318,4.876977478348999,1.8219713960159531,0.7803793832574638,1.9219344416172082,0.0,0.0,0.0,2.0111549144642153,0.0006425000000000001,3.25e-05,0.0
