dataset,image,gt_id_1,gt_id_2,merged,pred_id_1,pred_id_2,interface_len_px,area_1,area_2,centroid_r,centroid_c,iface_mean_intensity,cell_mean_intensity,local_contrast,iface_fg_coverage,pair_fg_coverage
nuclei,nuclei_figure_1,164,165,True,451,451,92,614,507,553.0434782608696,62.45652173913044,202.1304347826087,204.8421052631579,2.711670480549202,1.0,0.975914362176628
nuclei,nuclei_figure_1,165,170,True,451,451,83,507,596,561.5783132530121,51.674698795180724,202.86746987951807,207.52765185856754,4.660181979049469,1.0,0.9882139619220308
nuclei,nuclei_figure_1,176,188,False,493,525,19,657,687,624.8947368421053,77.63157894736842,186.89473684210526,201.52380952380952,14.629072681704258,0.9473684210526315,0.9590773809523809
nuclei,nuclei_figure_1,181,184,False,491,505,49,691,632,613.795918367347,584.4489795918367,197.0,206.6538170823885,9.653817082388514,0.9795918367346939,0.9440665154950869
nuclei,nuclei_figure_1,196,205,False,544,560,4,629,621,695.0,123.0,194.25,211.8832,17.633199999999988,1.0,0.9904
nuclei,nuclei_figure_1,198,204,True,549,549,64,698,570,692.609375,653.875,192.921875,202.22712933753942,9.305254337539424,0.90625,0.8958990536277602
nuclei,nuclei_figure_1,205,207,False,560,565,18,621,715,721.2777777777778,140.27777777777777,188.88888888888889,196.6699101796407,7.7810212907518235,1.0,0.9011976047904192
nuclei,nuclei_figure_1,209,215,True,573,573,64,518,658,738.25,114.265625,210.28125,216.88690476190476,6.605654761904759,1.0,0.9914965986394558
nuclei,nuclei_figure_1,226,227,True,588,588,40,573,1103,779.2,142.3,183.975,194.32100238663483,10.346002386634837,0.85,0.8430787589498807
nuclei,nuclei_figure_1,230,235,True,591,591,71,964,596,800.6197183098592,200.1267605633803,184.8450704225352,197.64807692307693,12.803006500541727,0.8450704225352113,0.8442307692307692
nuclei,nuclei_figure_1,235,237,True,591,591,59,596,652,816.5762711864406,187.16949152542372,192.98305084745763,193.12820512820514,0.14515428074750503,0.847457627118644,0.8149038461538461
nuclei,nuclei_figure_1,237,250,False,591,611,29,652,651,829.6896551724138,179.55172413793105,178.58620689655172,189.9002302379125,11.31402334136078,0.5517241379310345,0.7244819646968534
nuclei,nuclei_figure_1,240,245,False,607,605,46,945,815,835.804347826087,130.2173913043478,173.19565217391303,185.88920454545453,12.6935523715415,0.2608695652173913,0.7011363636363637
nuclei,nuclei_figure_1,249,260,False,608,615,34,664,413,859.0882352941177,291.61764705882354,173.7058823529412,176.016713091922,2.310830738980826,0.2647058823529412,0.46146703806870937
nuclei,nuclei_figure_1,260,261,False,615,0,27,413,185,866.1851851851852,285.44444444444446,166.07407407407408,170.66722408026754,4.5931500061934685,0.0,0.26755852842809363
nuclei,nuclei_figure_1,263,268,False,0,625,48,757,1408,887.4166666666666,326.0833333333333,164.29166666666666,175.6581986143187,11.36653194765205,0.0,0.32517321016166284
nuclei,nuclei_figure_1,271,276,False,626,631,25,585,606,916.08,418.64,169.4,179.26952141057936,9.869521410579353,0.08,0.5247691015952981
nuclei,nuclei_figure_1,276,279,False,631,637,41,606,987,940.0731707317074,413.8292682926829,170.0,176.6497175141243,6.649717514124291,0.04878048780487805,0.40552416823603266
nuclei,nuclei_figure_1,286,298,True,650,650,47,1174,607,1016.8297872340426,311.9148936170213,188.82978723404256,194.76530039303762,5.9355131589950645,0.8723404255319149,0.7456485120718698
nuclei,nuclei_figure_1,288,292,True,649,649,56,670,675,1006.8928571428571,39.607142857142854,197.26785714285714,198.5620817843866,1.2942246415294676,0.9821428571428571,0.9434944237918216
nuclei,nuclei_figure_1,291,294,False,656,657,22,706,642,1026.0454545454545,366.04545454545456,172.27272727272728,182.7967359050445,10.52400863231722,0.13636363636363635,0.6654302670623146
nuclei,nuclei_figure_1,292,297,False,649,659,18,675,570,1013.2222222222222,19.27777777777778,184.77777777777777,198.71164658634538,13.93386880856761,0.8888888888888888,0.9518072289156626
nuclei,nuclei_figure_1,293,299,True,658,658,35,763,520,1031.4,406.8285714285714,189.34285714285716,187.18862042088855,-2.1542367219686014,0.7714285714285715,0.7069368667186282
nuclei,nuclei_figure_1,294,299,False,657,658,86,642,520,1031.8953488372092,385.8953488372093,179.41860465116278,183.381239242685,3.9626345915222316,0.5465116279069767,0.689328743545611
nuclei,nuclei_figure_1,299,305,False,658,676,10,520,1078,1049.7,374.3,167.9,185.8235294117647,17.92352941176469,0.0,0.7152690863579474
nuclei,nuclei_figure_1,305,306,False,676,673,29,1078,625,1066.1724137931035,375.41379310344826,177.10344827586206,187.3429242513212,10.23947597545913,0.3793103448275862,0.7557251908396947
nuclei,nuclei_figure_1,305,312,False,676,688,56,1078,896,1081.6785714285713,335.82142857142856,182.98214285714286,189.97011144883484,6.987968591691981,0.7142857142857143,0.7507598784194529
nuclei,nuclei_figure_1,306,310,False,673,687,32,625,1007,1071.1875,403.6875,179.59375,194.96936274509804,15.375612745098039,0.6875,0.835171568627451
