dataset,region_class,site_r,site_c,n_mc,seed,S2_se_q2.0,S2_se_q1.5
whole_cell,B_separated_interface,344,547,20000,20260918,0.007341221008994969,0.009360370690766884
whole_cell,B_separated_interface,399,280,20000,20260918,0.008929044191218025,0.011365951309046444
whole_cell,B_separated_interface,305,578,20000,20260918,0.008051097392362542,0.01022396131879922
whole_cell,B_separated_interface,334,398,20000,20260918,0.007139741257112827,0.009125819771588434
whole_cell,B_separated_interface,146,558,20000,20260918,0.008853450382908377,0.011272755528933143
whole_cell,B_separated_interface,208,574,20000,20260918,0.00807809355659717,0.01030959758724093
whole_cell,B_separated_interface,326,238,20000,20260918,0.009451079021399038,0.01204769487149981
whole_cell,B_separated_interface,153,44,20000,20260918,0.008567404252029337,0.010905328038737656
whole_cell,B_separated_interface,231,392,20000,20260918,0.009443490887125988,0.01201122187783598
whole_cell,B_separated_interface,455,85,20000,20260918,0.009883001968710784,0.012617499147228536
whole_cell,B_separated_interface,458,477,20000,20260918,0.009622328667510047,0.012277617428981362
whole_cell,B_separated_interface,334,218,20000,20260918,0.009014443671966667,0.011469374561505884
whole_cell,B_separated_interface,146,305,20000,20260918,0.007629665423995448,0.009722368092082335
whole_cell,B_separated_interface,147,339,20000,20260918,0.007791610384878858,0.009934400606373687
whole_cell,B_separated_interface,223,376,20000,20260918,0.008240485705422657,0.010503318862254784
whole_cell,B_separated_interface,153,31,20000,20260918,0.00806878262650125,0.010267212734205479
whole_cell,B_separated_interface,104,194,20000,20260918,0.008971524702479203,0.01137706669624153
whole_cell,B_separated_interface,454,348,20000,20260918,0.006860886949261297,0.00877362714660315
whole_cell,B_separated_interface,167,288,20000,20260918,0.00805024263877698,0.010256677741492772
whole_cell,B_separated_interface,181,258,20000,20260918,0.00761811003483644,0.009721851427975981
whole_cell,B_separated_interface,184,275,20000,20260918,0.007597824641811201,0.009633077065018517
whole_cell,B_separated_interface,478,485,20000,20260918,0.008883764057672005,0.011277909903260951
whole_cell,B_separated_interface,6,557,20000,20260918,0.008711279936073176,0.01104945295005035
whole_cell,B_separated_interface,149,177,20000,20260918,0.00975627815690147,0.012431174739373123
whole_cell,B_separated_interface,51,240,20000,20260918,0.007978319058233726,0.010187230493128377
whole_cell,B_separated_interface,480,333,20000,20260918,0.006418784732447935,0.008249274573962446
whole_cell,B_separated_interface,127,388,20000,20260918,0.006183942372623732,0.007902237848174528
whole_cell,B_separated_interface,478,72,20000,20260918,0.008658350441361895,0.011063531770064392
whole_cell,B_separated_interface,469,21,20000,20260918,0.009629406232811822,0.012292646394505412
whole_cell,B_separated_interface,205,588,20000,20260918,0.007765627184811449,0.009901604164658859
whole_cell,B_separated_interface,127,425,20000,20260918,0.007177179938927522,0.00913360500869822
whole_cell,B_separated_interface,17,279,20000,20260918,0.009354161208599446,0.011939553133227957
whole_cell,B_separated_interface,70,325,20000,20260918,0.006445282834661903,0.008215424441457545
whole_cell,B_separated_interface,206,360,20000,20260918,0.008478701988704396,0.010808120580508155
whole_cell,B_separated_interface,410,518,20000,20260918,0.0076156316180572186,0.00971245132728604
whole_cell,B_separated_interface,15,481,20000,20260918,0.007889079563326724,0.010060882360022023
whole_cell,B_separated_interface,491,56,20000,20260918,0.008217569883549597,0.01047066318612373
whole_cell,B_separated_interface,252,562,20000,20260918,0.008091331619367743,0.010250124228886593
whole_cell,B_separated_interface,291,71,20000,20260918,0.008265617259845615,0.01055296100571757
whole_cell,B_separated_interface,62,117,20000,20260918,0.009371872602967145,0.01172732545402401
whole_cell,B_separated_interface,185,248,20000,20260918,0.007480176582251586,0.00957145764430664
whole_cell,B_separated_interface,176,393,20000,20260918,0.009413934035790368,0.012005334637848922
whole_cell,B_separated_interface,153,128,20000,20260918,0.007621104375417405,0.009742748156181416
whole_cell,B_separated_interface,434,100,20000,20260918,0.008516052183881241,0.010829845082442002
whole_cell,B_separated_interface,56,403,20000,20260918,0.009547224548603524,0.012098453416305971
whole_cell,B_separated_interface,90,99,20000,20260918,0.007974070392611747,0.010114003203757736
whole_cell,B_separated_interface,307,359,20000,20260918,0.008340089029250392,0.010589529772760472
whole_cell,B_separated_interface,495,309,20000,20260918,0.008235891143668728,0.01045932566690656
whole_cell,B_separated_interface,263,509,20000,20260918,0.008197448684637742,0.010421415691325384
whole_cell,B_separated_interface,103,554,20000,20260918,0.008151935518342894,0.010370554694720287
whole_cell,B_separated_interface,360,240,20000,20260918,0.008596888783127534,0.01092751195627012
whole_cell,B_separated_interface,558,595,20000,20260918,0.00831079345245379,0.010574706146095474
whole_cell,B_separated_interface,318,522,20000,20260918,0.007356874604913272,0.009391070607748507
whole_cell,B_separated_interface,348,122,20000,20260918,0.008243827701979881,0.010518904333952635
whole_cell,B_separated_interface,143,53,20000,20260918,0.009460396610360078,0.012000854026195221
whole_cell,B_separated_interface,108,324,20000,20260918,0.00795813915312869,0.01008940628747847
whole_cell,B_separated_interface,220,368,20000,20260918,0.007969874478551749,0.01013133772665921
whole_cell,B_separated_interface,206,42,20000,20260918,0.008927709211063036,0.011361384769284638
whole_cell,B_separated_interface,364,546,20000,20260918,0.007453838002623804,0.009502308513007226
whole_cell,C_outer_boundary,61,154,20000,20260918,0.009363939741757504,0.01194473678429457
whole_cell,C_outer_boundary,201,177,20000,20260918,0.009269896828837111,0.0117681339986531
whole_cell,C_outer_boundary,108,158,20000,20260918,0.008886786132861995,0.01124684483281142
whole_cell,C_outer_boundary,156,498,20000,20260918,0.008251090873345416,0.010496260909534441
whole_cell,C_outer_boundary,306,524,20000,20260918,0.008061278733244023,0.010229223098440331
whole_cell,C_outer_boundary,310,482,20000,20260918,0.008094884081810779,0.010294507353241441
whole_cell,C_outer_boundary,482,448,20000,20260918,0.008723399608545776,0.011103577074408724
whole_cell,C_outer_boundary,546,280,20000,20260918,0.00799020605650643,0.010159355398500903
whole_cell,C_outer_boundary,588,208,20000,20260918,0.009395478405032713,0.01198087407007078
whole_cell,D_interior,514,136,20000,20260918,0.0070389657511492195,0.008974865127782932
whole_cell,D_interior,566,343,20000,20260918,0.007790024198079527,0.009911026882419793
whole_cell,D_interior,461,196,20000,20260918,0.009136574392891679,0.011638830087119962
whole_cell,D_interior,274,543,20000,20260918,0.0071116266414303405,0.00907657835936273
whole_cell,D_interior,122,375,20000,20260918,0.008983341765801633,0.011430994432072626
whole_cell,D_interior,514,448,20000,20260918,0.008827643903742992,0.011229260042327981
whole_cell,D_interior,318,489,20000,20260918,0.008475010498729958,0.010760319950425682
whole_cell,D_interior,255,586,20000,20260918,0.008833737429589834,0.011190730171623888
whole_cell,D_interior,19,416,20000,20260918,0.009004617397704584,0.011464798519201812
whole_cell,D_interior,210,69,20000,20260918,0.008455603098414366,0.01079919128708924
whole_cell,D_interior,102,445,20000,20260918,0.00753045498538239,0.009617126403757411
whole_cell,D_interior,299,408,20000,20260918,0.009242088627929277,0.011786385932688851
whole_cell,D_interior,267,456,20000,20260918,0.009472809441176018,0.01209088111404942
whole_cell,D_interior,124,218,20000,20260918,0.009738112707946474,0.012432204401217086
whole_cell,D_interior,490,454,20000,20260918,0.009288434391161953,0.011741646716717777
whole_cell,D_interior,458,270,20000,20260918,0.009261713841997879,0.011836583977776325
whole_cell,D_interior,404,344,20000,20260918,0.008590900796612956,0.010943261526376952
whole_cell,D_interior,410,462,20000,20260918,0.006948566891636684,0.008866008768633415
whole_cell,D_interior,223,424,20000,20260918,0.007815809843220207,0.009960426083058234
whole_cell,D_interior,32,154,20000,20260918,0.009677652172689254,0.012372383542312342
whole_cell,D_interior,126,396,20000,20260918,0.007218847542254614,0.00918347222442963
whole_cell,D_interior,68,333,20000,20260918,0.00680527730731233,0.008684056183873886
whole_cell,D_interior,358,255,20000,20260918,0.009268612447886586,0.011818502898801759
whole_cell,D_interior,91,67,20000,20260918,0.009368848271153881,0.011957357318249777
whole_cell,D_interior,97,89,20000,20260918,0.008439052528611856,0.01075010060873548
whole_cell,D_interior,101,568,20000,20260918,0.008456889933271648,0.010791168614365259
whole_cell,D_interior,582,312,20000,20260918,0.009446159921376955,0.012051798036812614
whole_cell,D_interior,16,173,20000,20260918,0.0077912023210775175,0.009934136403996381
whole_cell,D_interior,166,391,20000,20260918,0.007817945572773837,0.009956237312045292
whole_cell,D_interior,162,129,20000,20260918,0.006786498369790237,0.008662414305505538
whole_cell,D_interior,86,9,20000,20260918,0.008749820679598395,0.011168189582344586
whole_cell,D_interior,36,264,20000,20260918,0.009366395686833109,0.011933050392443509
whole_cell,D_interior,460,120,20000,20260918,0.008635929422562161,0.011011188823042943
whole_cell,D_interior,175,93,20000,20260918,0.008557197655040016,0.010903516276462456
whole_cell,D_interior,522,241,20000,20260918,0.006849312463833587,0.008710683972890937
whole_cell,D_interior,309,345,20000,20260918,0.009157581194070504,0.011700569495805268
whole_cell,D_interior,586,110,20000,20260918,0.009653010772526529,0.012275166518409934
whole_cell,D_interior,22,591,20000,20260918,0.009446760212749128,0.012016439860029704
whole_cell,D_interior,486,484,20000,20260918,0.008252629654723669,0.010539103092541425
whole_cell,D_interior,245,571,20000,20260918,0.008361986716453652,0.010613587364926349
whole_cell,D_interior,535,52,20000,20260918,0.006814019294730741,0.008710770215134653
whole_cell,D_interior,331,410,20000,20260918,0.008929684330848781,0.011343430139534242
whole_cell,D_interior,566,594,20000,20260918,0.00769224647766172,0.009812358362301076
whole_cell,D_interior,156,69,20000,20260918,0.008555079863115038,0.010895198317588822
whole_cell,D_interior,368,410,20000,20260918,0.007776216536922244,0.00990378827968489
whole_cell,D_interior,402,9,20000,20260918,0.00892417365515875,0.011368963218061206
whole_cell,D_interior,244,184,20000,20260918,0.008598488008777001,0.01096535845528982
whole_cell,D_interior,407,444,20000,20260918,0.008442569627561375,0.01077831175467014
whole_cell,D_interior,237,393,20000,20260918,0.00924820223252031,0.011731919147850312
whole_cell,D_interior,102,125,20000,20260918,0.009845358690878728,0.012544340310588977
whole_cell,D_interior,103,464,20000,20260918,0.008648626592723535,0.01105195358140496
whole_cell,D_interior,101,217,20000,20260918,0.008985108214471446,0.01146930997601161
whole_cell,D_interior,592,390,20000,20260918,0.008254956586374885,0.01040811956811654
whole_cell,D_interior,220,222,20000,20260918,0.007649794501228248,0.00976867249874656
whole_cell,D_interior,382,71,20000,20260918,0.007201892437300691,0.009206586816050624
whole_cell,D_interior,369,549,20000,20260918,0.007075723725650828,0.00901527363131263
