rule,rule_family,params,dataset,image,arm,threshold,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
quantile_p0.85,quantile,"{""p"": 0.85}",nuclei,nuclei_figure_1,qep_q2,187.21844863891602,False,256,0.7746802213994725,0.6322269785641237,0.960895982699621,0.6489229288369623,0.15000055292608483,0.22211409445452
quantile_p0.85,quantile,"{""p"": 0.85}",nuclei,nuclei_figure_1,qep_q1.5,187.29977416992188,False,255,0.7732587080077762,0.6303355997351379,0.9591327693508057,0.6477321760488582,0.15000055292608483,0.22211409445452
quantile_p0.85,quantile,"{""p"": 0.85}",whole_cell,whole_cell_figure_1,raw,90.0,False,396,0.6059152677857714,0.43463302752293576,0.986406276330818,0.4372520376487774,0.14785991140642304,0.33356035437430787
quantile_p0.85,quantile,"{""p"": 0.85}",whole_cell,whole_cell_figure_1,gp,87.1165168762207,False,340,0.6108254800700782,0.43970391862707925,0.9845699520118125,0.4427549343470394,0.15,0.33356035437430787
quantile_p0.85,quantile,"{""p"": 0.85}",whole_cell,whole_cell_figure_1,qep_q2,87.1165168762207,False,340,0.6108254800700782,0.43970391862707925,0.9845699520118125,0.4427549343470394,0.15,0.33356035437430787
quantile_p0.85,quantile,"{""p"": 0.85}",whole_cell,whole_cell_figure_1,qep_q1.5,86.52911186218259,False,326,0.6111231979480368,0.4400125317415823,0.9850498338870431,0.44297073421755945,0.15,0.33356035437430787
quantile_p0.9,quantile,"{""p"": 0.9}",nuclei,nuclei_figure_1,raw,198.0,False,2890,0.6034831097462421,0.43213448684933886,0.991436537440255,0.4337534851301115,0.0971749163238525,0.22211409445452
quantile_p0.9,quantile,"{""p"": 0.9}",nuclei,nuclei_figure_1,gp,196.43666076660156,False,257,0.6111856541653673,0.44007729038690513,0.9843613207634109,0.4431757833244822,0.09999944707391516,0.22211409445452
quantile_p0.9,quantile,"{""p"": 0.9}",nuclei,nuclei_figure_1,qep_q2,196.43666076660156,False,257,0.6111856541653673,0.44007729038690513,0.9843613207634109,0.4431757833244822,0.09999944707391516,0.22211409445452
quantile_p0.9,quantile,"{""p"": 0.9}",nuclei,nuclei_figure_1,qep_q1.5,196.466552734375,False,259,0.6106460527896824,0.4395179889298893,0.9834860018062186,0.442785780669145,0.1000003686173899,0.22211409445452
quantile_p0.9,quantile,"{""p"": 0.9}",whole_cell,whole_cell_figure_1,raw,111.0,False,462,0.4535611149174313,0.2932939150021531,0.9923229945924743,0.29396092362344584,0.09881229235880398,0.33356035437430787
quantile_p0.9,quantile,"{""p"": 0.9}",whole_cell,whole_cell_figure_1,gp,106.8881301879883,False,362,0.45747819312652455,0.2965781041720138,0.9917220376522702,0.29731412161152704,0.1,0.33356035437430787
quantile_p0.9,quantile,"{""p"": 0.9}",whole_cell,whole_cell_figure_1,qep_q2,106.8881301879883,False,362,0.45747819312652455,0.2965781041720138,0.9917220376522702,0.29731412161152704,0.1,0.33356035437430787
quantile_p0.9,quantile,"{""p"": 0.9}",whole_cell,whole_cell_figure_1,qep_q1.5,105.81494445800783,False,344,0.4575420492714014,0.2966317811485726,0.9918604651162791,0.29735562158662704,0.1,0.33356035437430787
quantile_p0.95,quantile,"{""p"": 0.95}",nuclei,nuclei_figure_1,raw,211.0,False,2939,0.36183873234893676,0.22088102038193855,0.9959069245864872,0.2210817180031864,0.04930718361569426,0.22211409445452
quantile_p0.95,quantile,"{""p"": 0.95}",nuclei,nuclei_figure_1,gp,208.9545669555664,False,221,0.3652859479614333,0.223455562461156,0.9939915586928876,0.22375780005310675,0.05000018430869495,0.22211409445452
quantile_p0.95,quantile,"{""p"": 0.95}",nuclei,nuclei_figure_1,qep_q2,208.9545669555664,False,221,0.3652859479614333,0.223455562461156,0.9939915586928876,0.22375780005310675,0.05000018430869495,0.22211409445452
quantile_p0.95,quantile,"{""p"": 0.95}",nuclei,nuclei_figure_1,qep_q1.5,208.9591941833496,False,218,0.36511661773022985,0.22332884515794926,0.9935307886539986,0.22365407594264472,0.05000018430869495,0.22211409445452
quantile_p0.95,quantile,"{""p"": 0.95}",whole_cell,whole_cell_figure_1,raw,137.0,False,387,0.2585742451269978,0.14848422013022022,0.9953850430914651,0.1485865108480935,0.04979235880398671,0.33356035437430787
quantile_p0.95,quantile,"{""p"": 0.95}",whole_cell,whole_cell_figure_1,gp,133.05527343749998,False,345,0.2593148648063403,0.14897287255658118,0.9946290143964562,0.14909281054431367,0.05,0.33356035437430787
quantile_p0.95,quantile,"{""p"": 0.95}",whole_cell,whole_cell_figure_1,qep_q2,133.05527343749998,False,345,0.2593148648063403,0.14897287255658118,0.9946290143964562,0.14909281054431367,0.05,0.33356035437430787
quantile_p0.95,quantile,"{""p"": 0.95}",whole_cell,whole_cell_figure_1,qep_q1.5,131.36983642578124,False,332,0.25932930086183253,0.14898240143309724,0.9946843853820598,0.14910111053933367,0.05,0.33356035437430787
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",nuclei,nuclei_figure_1,raw,186.0151,False,3803,0.7895953529779207,0.6523399880531998,0.969402543447543,0.6660540029208709,0.15260944250305952,0.22211409445452
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",nuclei,nuclei_figure_1,gp,184.34731955108643,False,250,0.8134677590725569,0.685584201603082,0.9438812970532475,0.7147172065852363,0.16818721339997936,0.22211409445452
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",nuclei,nuclei_figure_1,qep_q2,184.34731955108643,False,250,0.8134677590725569,0.685584201603082,0.9438812970532475,0.7147172065852363,0.16818721339997936,0.22211409445452
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",nuclei,nuclei_figure_1,qep_q1.5,184.36200898132324,False,247,0.8128461783326849,0.6847016481748519,0.941503569653304,0.7151238050982475,0.16870788546320462,0.22211409445452
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",whole_cell,whole_cell_figure_1,raw,54.6868,False,389,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",whole_cell,whole_cell_figure_1,gp,59.5034663002491,False,281,0.80749153027628,0.6771369351056764,0.9497687679597702,0.7022874786275128,0.24664451827242526,0.33356035437430787
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",whole_cell,whole_cell_figure_1,qep_q2,59.5034663002491,False,281,0.80749153027628,0.6771369351056764,0.9497687679597702,0.7022874786275128,0.24664451827242526,0.33356035437430787
robust_mad_c1.5,robust_mad,"{""c"": 1.5}",whole_cell,whole_cell_figure_1,qep_q1.5,59.95778638057708,False,270,0.8066118074825376,0.6759006101618813,0.9521222525921074,0.6996812801912319,0.2451218161683278,0.33356035437430787
