pilot,role,dataset,image,arm,wm,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_3,qep_q1.5,0.0,0.38768115942028986,0.017264276228419653,349,417,105,2,385,0.48482951241783356
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,raw,1.0,0.15846994535519127,0.05472636815920398,139,73,15,11,2459,0.4768182907557881
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,raw,0.7,0.19653179190751446,0.06153846153846154,134,73,13,15,2455,0.5002257064975908
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,raw,0.5,0.20114942528735633,0.0663265306122449,136,73,15,11,2474,0.5023925641245669
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,raw,0.3,0.19879518072289157,0.06417112299465241,126,73,19,7,2501,0.4935515422022413
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,raw,0.0,0.2361111111111111,0.08536585365853659,105,73,25,2,2534,0.4835972877346809
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,gp,1.0,0.20394736842105263,0.057803468208092484,110,73,22,9,122,0.47960103240574237
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,gp,0.7,0.15568862275449102,0.04891304347826087,120,73,20,11,132,0.46903174423945615
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,gp,0.5,0.15476190476190477,0.060109289617486336,121,73,23,11,137,0.4713320408338991
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,gp,0.3,0.15028901734104047,0.05851063829787234,126,73,24,6,154,0.44906883158335403
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,gp,0.0,0.19333333333333333,0.05917159763313609,106,73,28,3,171,0.4557900330983006
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,1.0,0.20394736842105263,0.057803468208092484,110,73,22,9,122,0.47960103240574237
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,0.7,0.15568862275449102,0.04891304347826087,120,73,20,11,132,0.46903174423945615
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,0.5,0.15476190476190477,0.060109289617486336,121,73,23,11,137,0.4713320408338991
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,0.3,0.15028901734104047,0.05851063829787234,126,73,24,6,154,0.44906883158335403
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q2,0.0,0.19333333333333333,0.05917159763313609,106,73,28,3,171,0.4557900330983006
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,1.0,0.23776223776223776,0.05357142857142857,104,73,22,7,114,0.4822207672699516
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,0.7,0.17834394904458598,0.05113636363636364,112,73,22,11,123,0.46280198115380333
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,0.5,0.175,0.05027932960893855,115,73,23,12,127,0.4674581305225269
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,0.3,0.1656441717791411,0.05555555555555555,117,73,28,7,140,0.4500434970590345
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_4,qep_q1.5,0.0,0.19310344827586207,0.06134969325153374,100,73,32,3,155,0.4495378324497793
P2_markers,heldout_candidate,whole_cell,whole_cell_figure_5,raw,1.0,0.13703703703703704,0.013201320132013201,218,89,9,5,1043,0.47089422368354056
