test,q,lengthscale,outputscale,noise,mll,best_outputscale,best_mll,at_grid_edge
T3,1.0,0.001,21.54434690031882,0.01,-2.4759190938746434,,,
T3,1.0,0.001,21.54434690031882,0.1,-2.476935188021656,,,
T3,1.0,0.001,21.54434690031882,1.0,-2.486872634735482,,,
T3,1.0,0.001,21.54434690031882,10.0,-2.5689902267595737,,,
T3,1.0,0.001,100.0,1e-10,-2.8529760980627747,,,
T3,1.0,0.001,100.0,1e-09,-2.8529760980649987,,,
T3,1.0,0.001,100.0,1e-08,-2.8529760980872423,,,
T3,1.0,0.001,100.0,1e-07,-2.8529760983096715,,,
T3,1.0,0.001,100.0,1e-06,-2.8529761005339678,,,
T3,1.0,0.001,100.0,1e-05,-2.8529761227769317,,,
T3,1.0,0.001,100.0,0.0001,-2.8529763452064527,,,
T3,1.0,0.001,100.0,0.001,-2.852978569490722,,,
T3,1.0,0.001,100.0,0.01,-2.853000811238827,,,
T3,1.0,0.001,100.0,0.1,-2.853223119333971,,,
T3,1.0,0.001,100.0,1.0,-2.855435333682649,,,
T3,1.0,0.001,100.0,10.0,-2.876537825790226,,,
T3,1.0,0.001,464.1588833612773,1e-10,-3.233679607202184,,,
T3,1.0,0.001,464.1588833612773,1e-09,-3.2336796072026672,,,
T3,1.0,0.001,464.1588833612773,1e-08,-3.2336796072074883,,,
T3,1.0,0.001,464.1588833612773,1e-07,-3.2336796072557057,,,
T3,1.0,0.001,464.1588833612773,1e-06,-3.2336796077378827,,,
T3,1.0,0.001,464.1588833612773,1e-05,-3.2336796125596585,,,
T3,1.0,0.001,464.1588833612773,0.0001,-3.2336796607773963,,,
T3,1.0,0.001,464.1588833612773,0.001,-3.2336801429542747,,,
T3,1.0,0.001,464.1588833612773,0.01,-3.2336849646717787,,,
T3,1.0,0.001,464.1588833612773,0.1,-3.2337331767191664,,,
T3,1.0,0.001,464.1588833612773,1.0,-3.234214785162467,,,
T3,1.0,0.001,464.1588833612773,10.0,-3.2389803879830885,,,
T3,1.0,0.001,2154.4346900318824,1e-10,-3.616023150793702,,,
T3,1.0,0.001,2154.4346900318824,1e-09,-3.6160231507938065,,,
T3,1.0,0.001,2154.4346900318824,1e-08,-3.6160231507948475,,,
T3,1.0,0.001,2154.4346900318824,1e-07,-3.6160231508052663,,,
T3,1.0,0.001,2154.4346900318824,1e-06,-3.6160231509094443,,,
T3,1.0,0.001,2154.4346900318824,1e-05,-3.6160231519512314,,,
T3,1.0,0.001,2154.4346900318824,0.0001,-3.616023162369102,,,
T3,1.0,0.001,2154.4346900318824,0.001,-3.6160232665477894,,,
T3,1.0,0.001,2154.4346900318824,0.01,-3.616024308332264,,,
T3,1.0,0.001,2154.4346900318824,0.1,-3.616034725937953,,,
T3,1.0,0.001,2154.4346900318824,1.0,-3.616138878096609,,,
T3,1.0,0.001,2154.4346900318824,10.0,-3.6171780172149695,,,
T3,1.0,0.001,10000.0,1e-10,-3.9991279309451455,,,
T3,1.0,0.001,10000.0,1e-09,-3.999127930945169,,,
T3,1.0,0.001,10000.0,1e-08,-3.999127930945393,,,
T3,1.0,0.001,10000.0,1e-07,-3.9991279309476413,,,
T3,1.0,0.001,10000.0,1e-06,-3.999127930970115,,,
T3,1.0,0.001,10000.0,1e-05,-3.9991279311948573,,,
T3,1.0,0.001,10000.0,0.0001,-3.999127933442287,,,
T3,1.0,0.001,10000.0,0.001,-3.9991279559165833,,,
T3,1.0,0.001,10000.0,0.01,-3.9991281806594223,,,
T3,1.0,0.001,10000.0,0.1,-3.9991304280767124,,,
T3,1.0,0.001,10000.0,1.0,-3.999152901137849,,,
T3,1.0,0.001,10000.0,10.0,-3.9993775206472315,,,
T3,1.0,0.002848035868435802,0.0001,1e-10,-5.105286261252462,,,
T3,1.0,0.002848035868435802,0.0001,1e-09,-5.105262807906445,,,
T3,1.0,0.002848035868435802,0.0001,1e-08,-5.105028292415722,,,
T3,1.0,0.002848035868435802,0.0001,1e-07,-5.102684932939252,,,
T3,1.0,0.002848035868435802,0.0001,1e-06,-5.079429381304069,,,
T3,1.0,0.002848035868435802,0.0001,1e-05,-4.863299409882767,,,
T3,1.0,0.002848035868435802,0.0001,0.0001,-3.605598790592647,,,
T3,1.0,0.002848035868435802,0.0001,0.001,-1.715064177325208,,,
T3,1.0,0.002848035868435802,0.0001,0.01,-1.1155223731489745,,,
T3,1.0,0.002848035868435802,0.0001,0.1,-1.301111268412421,,,
T3,1.0,0.002848035868435802,0.0001,1.0,-1.7531128307065516,,,
T3,1.0,0.002848035868435802,0.0001,10.0,-2.28968295693848,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1e-10,-2.428380630826484,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1e-09,-2.4283785452238575,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1e-08,-2.4283576895570507,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1e-07,-2.4281491688291497,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1e-06,-2.426067548948276,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1e-05,-2.4056035954836608,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,0.0001,-2.2307340998081244,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,0.001,-1.5571019180747327,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,0.01,-1.1144003745366633,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,0.1,-1.3016916078319556,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,1.0,-1.7531934488954242,,,
T3,1.0,0.002848035868435802,0.00046415888336127773,10.0,-2.289691731779216,,,
T3,1.0,0.002848035868435802,0.002154434690031882,1e-10,-1.3915068432082822,,,
T3,1.0,0.002848035868435802,0.002154434690031882,1e-09,-1.3915066906086904,,,
T3,1.0,0.002848035868435802,0.002154434690031882,1e-08,-1.3915051646192347,,,
T3,1.0,0.002848035868435802,0.002154434690031882,1e-07,-1.3914899053705365,,,
T3,1.0,0.002848035868435802,0.002154434690031882,1e-06,-1.3913373774428694,,,
T3,1.0,0.002848035868435802,0.002154434690031882,1e-05,-1.3898185274102741,,,
T3,1.0,0.002848035868435802,0.002154434690031882,0.0001,-1.375247344592704,,,
T3,1.0,0.002848035868435802,0.002154434690031882,0.001,-1.2732329437144945,,,
T3,1.0,0.002848035868435802,0.002154434690031882,0.01,-1.1115562150715763,,,
T3,1.0,0.002848035868435802,0.002154434690031882,0.1,-1.3043656702658566,,,
